animeID,name,scored
284,A Kite,6.66
285,Najica Dengeki Sakusen,6.06
286,Paradise Kiss,7.9
287,Kidou Keisatsu Patlabor: On Television,7.77
288,Petshop of Horrors,7.36
289,Puchi Pri*Yucie,7.52
290,Piano,6.07
291,Planetes,8.36
292,Midori no Hibi,7.39
293,Mahoujin Guruguru,7.73
294,Dokidoki♡Densetsu: Mahoujin Guruguru,7.38
295,Mama wa Shougaku 4 Nensei,7.27
296,Marmalade Boy,7.62
297,Matantei Loki Ragnarok,7.39
298,Ginyuu Mokushiroku Meine Liebe,6.5
299,Psychic Academy,6.32
300,Versailles no Bara,8.38
301,Serial Experiments Lain,8
302,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.65
303,Spiral: Suiri no Kizuna,7.35
304,Starship Operators,7.05
305,Tsukuyomi: Moon Phase,7.1
306,Futatsu no Spica,7.45
307,Eikoku Koi Monogatari Emma,7.77
308,W: Wish,6.27
309,Wild Arms: Twilight Venom,6.72
310,Binzume Yousei,6.52
311,Magical Canan,6.34
312,Ojamajo Doremi,7.2
313,Ojamajo Doremi Dokkaan!,7.56
314,UG☆Ultimate Girls,5.68
315,Fate/stay night,7.52
316,Bokusatsu Tenshi Dokuro-chan,6.75
317,I&#039;ll/CKBC,6.42
318,Memories Off,6.03
319,Memories Off 2nd,6.42
320,Memories Off 3.5,6.4
321,Gallery Fake,7.59
322,Fake,6.64
323,AIKa,6
324,Boogiepop wa Warawanai: Boogiepop Phantom,7.21
325,Burn Up Excess,6.66
326,Cardcaptor Sakura Movie 1,7.72
327,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.29
328,Bannou Bunka Neko-Musume,6.76
329,Bannou Bunka Neko-Musume DASH!,6.48
330,Bannou Bunka Neko-Musume (1998),6.63
331,Elfen Lied Special,7.3
332,eX-Driver,6.84
333,Heppoko Jikken Animation Excel♥Saga,7.55
334,Gilgamesh,6.75
335,H2,7.36
336,Haibane Renmei,8.04
337,Karas,7.5
338,Suzuka,7.32
339,Tales of Phantasia The Animation,6.91
340,Yuu☆Yuu☆Hakusho,8.48
341,Escaflowne,7.17
342,Ai Yori Aoshi: Enishi,7.23
343,Gantz 2nd Stage,7.23
344,Seikai no Senki,7.82
345,Seikai no Senki III,7.81
346,Seikai no Senki Special,7.43
347,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8.07
348,Otogi Juushi Akazukin OVA,6.64
349,Hanaukyou Maid-tai,6.69
350,Buzzer Beater,6.66
351,Tantei Gakuen Q,7.85
352,Gun x Sword,7.35
353,Kore ga Watashi no Goshujinsama,6.64
354,Hametsu no Mars,2.33
355,Tonari no Yamada-kun,7.32
356,Kurenai no Buta,8.03
357,Samurai Deeper Kyou,7
358,Spriggan,6.77
359,Stratos 4,6.73
